Date,Location,League Name,Lane,Opponent,Start Time,Practice Time
2025-09-04,,2025-2026 Bowling League,14,3 FINGERS DEEP,18:30,18:15
2025-09-11,,2025-2026 Bowling League,16,M. WEBB LOUNGE,18:30,18:15
2025-09-18,,2025-2026 Bowling League,4,PIN DIDDY,18:30,18:15
2025-09-25,,2025-2026 Bowling League,5,DAYS OF THE WEEK,18:30,18:15
2025-10-02,,2025-2026 Bowling League,7,"ONE BALL, THATS ALL!",18:30,18:15
2025-10-09,,2025-2026 Bowling League,10,HERE FOR THE BEE,18:30,18:15
2025-10-16,,2025-2026 Bowling League,12,HOLLER HOUSE,18:30,18:15
2025-10-23,,2025-2026 Bowling League,6,TUCKIN' FENPIN,18:30,18:15
2025-10-30,,2025-2026 Bowling League,8,TEAM #1,18:30,18:15
2025-11-06,,2025-2026 Bowling League,9,Pin Pals,18:30,18:15
2025-11-13,,2025-2026 Bowling League,15,NO STRIKE TILL B,18:30,18:15
2025-11-20,,2025-2026 Bowling League,11,MOM'S BITCHES,18:30,18:15
2025-11-27,,2025-2026 Bowling League,13,8 BALLS and a POCKET,18:30,18:15
2025-12-04,,2025-2026 Bowling League,1,SOCIAL BITCHES,18:30,18:15
2025-12-11,,2025-2026 Bowling League,3,TEAM AUTO DOG,18:30,18:15
2026-01-08,,2025-2026 Bowling League,5,3 FINGERS DEEP,18:30,18:15
2026-01-15,,2025-2026 Bowling League,7,M. WEBB LOUNGE,18:30,18:15
2026-01-22,,2025-2026 Bowling League,1,PIN DIDDY,18:30,18:15
2026-01-29,,2025-2026 Bowling League,16,DAYS OF THE WEEK,18:30,18:15
2026-02-05,,2025-2026 Bowling League,12,"ONE BALL, THATS ALL!",18:30,18:15
2026-02-12,,2025-2026 Bowling League,13,HERE FOR THE BEE,18:30,18:15
2026-02-19,,2025-2026 Bowling League,3,HOLLER HOUSE,18:30,18:15
2026-02-26,,2025-2026 Bowling League,15,TUCKIN' FENPIN,18:30,18:15
2026-03-05,,2025-2026 Bowling League,11,TEAM #1,18:30,18:15
2026-03-12,,2025-2026 Bowling League,14,Pin Pals,18:30,18:15
2026-03-19,,2025-2026 Bowling League,8,NO STRIKE TILL B,18:30,18:15
2026-03-26,,2025-2026 Bowling League,4,MOM'S BITCHES,18:30,18:15
2026-04-02,,2025-2026 Bowling League,6,8 BALLS and a POCKET,18:30,18:15
2026-04-09,,2025-2026 Bowling League,10,SOCIAL BITCHES,18:30,18:15
2026-04-16,,2025-2026 Bowling League,14,8 BALLS and a POCKET,18:30,18:15
