date,lane,opponent,startTime,practiceTime
2025-09-04,14,3 FINGERS DEEP,18:30,18:15
2025-09-11,16,M. WEBB LOUNGE,18:30,18:15
2025-09-18,4,PIN DIDDY,18:30,18:15
2025-09-25,5,DAYS OF THE WEEK,18:30,18:15
2025-10-02,7,"ONE BALL, THATS ALL!",18:30,18:15
2025-10-09,10,HERE FOR THE BEE,18:30,18:15
2025-10-16,12,HOLLER HOUSE,18:30,18:15
2025-10-23,6,TUCKIN' FENPIN,18:30,18:15
2025-10-30,8,TEAM #1,18:30,18:15
2025-11-06,9,Pin Pals,18:30,18:15
2025-11-13,15,NO STRIKE TILL B,18:30,18:15
2025-11-20,11,MOM'S BITCHES,18:30,18:15
2025-11-27,13,8 BALLS and a POCKET,18:30,18:15
2025-12-04,1,SOCIAL BITCHES,18:30,18:15
2025-12-11,3,TEAM AUTO DOG,18:30,18:15
2026-01-08,5,3 FINGERS DEEP,18:30,18:15
2026-01-15,7,M. WEBB LOUNGE,18:30,18:15
2026-01-22,1,PIN DIDDY,18:30,18:15
2026-01-29,16,DAYS OF THE WEEK,18:30,18:15
2026-02-05,12,"ONE BALL, THATS ALL!",18:30,18:15
2026-02-12,13,HERE FOR THE BEE,18:30,18:15
2026-02-19,3,HOLLER HOUSE,18:30,18:15
2026-02-26,15,TUCKIN' FENPIN,18:30,18:15
2026-03-05,11,TEAM #1,18:30,18:15
2026-03-12,14,Pin Pals,18:30,18:15
2026-03-19,8,NO STRIKE TILL B,18:30,18:15
2026-03-26,4,MOM'S BITCHES,18:30,18:15
2026-04-02,6,8 BALLS and a POCKET,18:30,18:15
2026-04-09,10,SOCIAL BITCHES,18:30,18:15
2026-04-16,14,8 BALLS and a POCKET,18:30,18:15
